item sound pos task
183 PRAC 1 zString
185 PRAC 1 zString
186 PRAC 1 zString
182 PRAC 1 zString
181 PRAC 1 zString
184 PRAC 1 zString
31 STD 3 zString
32 STD 4 zString
33 STD 5 zString
87 DEV 3 zString
66 DEV 2 zString
89 DEV 5 zString
45 STD 5 zString
57 STD 5 zString
53 STD 5 zString
64 DEV 4 zString
86 DEV 2 zString
82 DEV 2 zString
80 DEV 4 zString
70 DEV 2 zString
58 STD 2 zString
79 DEV 3 zString
39 STD 3 zString
81 DEV 5 zString
84 DEV 4 zString
48 STD 4 zString
72 DEV 4 zString
60 STD 4 zString
46 STD 2 zString
73 DEV 5 zString
50 STD 2 zString
74 DEV 2 zString
90 DEV 2 zString
38 STD 2 zString
62 DEV 2 zString
88 DEV 4 zString
85 DEV 5 zString
49 STD 5 zString
71 DEV 3 zString
47 STD 3 zString
67 DEV 3 zString
35 STD 3 zString
76 DEV 4 zString
75 DEV 3 zString
37 STD 5 zString
54 STD 2 zString
77 DEV 5 zString
56 STD 4 zString
68 DEV 4 zString
65 DEV 5 zString
63 DEV 3 zString
59 STD 3 zString
36 STD 4 zString
51 STD 3 zString
83 DEV 3 zString
52 STD 4 zString
40 STD 4 zString
44 STD 4 zString
55 STD 3 zString
34 STD 2 zString
42 STD 2 zString
69 DEV 5 zString
41 STD 5 zString
78 DEV 2 zString
43 STD 3 zString
61 DEV 5 zString
24 SLC 4 zString
21 SLC 5 zString
4 SLC 4 zString
11 SLC 3 zString
7 SLC 3 zString
20 SLC 4 zString
25 SLC 5 zString
27 SLC 3 zString
5 SLC 5 zString
16 SLC 4 zString
12 SLC 4 zString
1 SLC 5 zString
14 SLC 2 zString
8 SLC 4 zString
18 SLC 2 zString
28 SLC 4 zString
17 SLC 5 zString
23 SLC 3 zString
15 SLC 3 zString
9 SLC 5 zString
26 SLC 2 zString
2 SLC 2 zString
6 SLC 2 zString
19 SLC 3 zString
10 SLC 2 zString
30 SLC 2 zString
13 SLC 5 zString
29 SLC 5 zString
22 SLC 2 zString
3 SLC 3 zString
187 PRAC 1 reading
191 PRAC 1 reading
189 PRAC 1 reading
190 PRAC 1 reading
192 PRAC 1 reading
188 PRAC 1 reading
121 STD 5 reading
122 STD 2 reading
123 STD 3 reading
164 DEV 4 reading
161 DEV 5 reading
148 STD 4 reading
156 DEV 4 reading
136 STD 4 reading
166 DEV 2 reading
146 STD 2 reading
132 STD 4 reading
138 STD 2 reading
145 STD 5 reading
152 DEV 4 reading
171 DEV 3 reading
173 DEV 5 reading
155 DEV 3 reading
165 DEV 5 reading
140 STD 4 reading
134 STD 2 reading
158 DEV 2 reading
144 STD 4 reading
153 DEV 5 reading
139 STD 3 reading
141 STD 5 reading
125 STD 5 reading
157 DEV 5 reading
151 DEV 3 reading
167 DEV 3 reading
160 DEV 4 reading
169 DEV 5 reading
128 STD 4 reading
142 STD 2 reading
143 STD 3 reading
170 DEV 2 reading
130 STD 2 reading
127 STD 3 reading
175 DEV 3 reading
179 DEV 3 reading
133 STD 5 reading
180 DEV 4 reading
124 STD 4 reading
154 DEV 2 reading
178 DEV 2 reading
147 STD 3 reading
126 STD 2 reading
159 DEV 3 reading
131 STD 3 reading
137 STD 5 reading
150 STD 2 reading
129 STD 5 reading
135 STD 3 reading
177 DEV 5 reading
163 DEV 3 reading
162 DEV 2 reading
168 DEV 4 reading
172 DEV 4 reading
176 DEV 4 reading
174 DEV 2 reading
149 STD 5 reading
113 SLC 5 reading
116 SLC 4 reading
103 SLC 3 reading
110 SLC 2 reading
99 SLC 3 reading
106 SLC 2 reading
119 SLC 3 reading
100 SLC 4 reading
95 SLC 3 reading
107 SLC 3 reading
109 SLC 5 reading
92 SLC 4 reading
94 SLC 2 reading
118 SLC 2 reading
101 SLC 5 reading
115 SLC 3 reading
98 SLC 2 reading
93 SLC 5 reading
112 SLC 4 reading
114 SLC 2 reading
111 SLC 3 reading
97 SLC 5 reading
120 SLC 4 reading
108 SLC 4 reading
96 SLC 4 reading
102 SLC 2 reading
104 SLC 4 reading
117 SLC 5 reading
91 SLC 3 reading
105 SLC 5 reading
