"","sub","item","cond","seq","line","dataFile","task","sound","Nfix_1st","Nfix_2nd","Nfix_all"
"2",1,27,1,1,1,"D:/Data/zString/ZSTR1.asc","reading","silence",8,5,13
"18",1,8,1,2,1,"D:/Data/zString/ZSTR1.asc","reading","silence",13,1,14
"39",1,2,1,3,1,"D:/Data/zString/ZSTR1.asc","reading","silence",9,1,10
"57",1,17,1,4,1,"D:/Data/zString/ZSTR1.asc","reading","silence",9,8,17
"81",1,12,1,5,1,"D:/Data/zString/ZSTR1.asc","reading","silence",7,2,9
"98",1,6,1,6,1,"D:/Data/zString/ZSTR1.asc","reading","silence",4,3,7
"114",1,23,1,7,1,"D:/Data/zString/ZSTR1.asc","reading","silence",5,3,8
"130",1,20,1,8,1,"D:/Data/zString/ZSTR1.asc","reading","silence",7,3,10
"147",1,15,1,9,1,"D:/Data/zString/ZSTR1.asc","reading","silence",8,3,11
"165",1,14,1,10,1,"D:/Data/zString/ZSTR1.asc","reading","silence",9,1,10
"180",1,19,1,11,NA,"D:/Data/zString/ZSTR1.asc","reading","silence",10,3,13
"200",1,16,1,12,NA,"D:/Data/zString/ZSTR1.asc","reading","silence",9,3,12
"223",1,28,1,13,NA,"D:/Data/zString/ZSTR1.asc","reading","silence",9,2,11
"242",1,24,1,14,1,"D:/Data/zString/ZSTR1.asc","reading","silence",10,3,13
"262",1,4,1,15,1,"D:/Data/zString/ZSTR1.asc","reading","silence",10,1,11
"282",1,5,1,16,1,"D:/Data/zString/ZSTR1.asc","reading","silence",7,2,9
"299",1,10,1,17,1,"D:/Data/zString/ZSTR1.asc","reading","silence",7,1,8
"315",1,25,1,18,1,"D:/Data/zString/ZSTR1.asc","reading","silence",7,0,7
"330",1,7,1,19,1,"D:/Data/zString/ZSTR1.asc","reading","silence",8,6,14
"349",1,30,1,20,1,"D:/Data/zString/ZSTR1.asc","reading","silence",8,5,13
"369",1,22,1,21,1,"D:/Data/zString/ZSTR1.asc","reading","silence",7,5,12
"388",1,21,1,22,1,"D:/Data/zString/ZSTR1.asc","reading","silence",8,3,11
"407",1,29,1,23,1,"D:/Data/zString/ZSTR1.asc","reading","silence",8,1,9
"424",1,3,1,24,1,"D:/Data/zString/ZSTR1.asc","reading","silence",6,1,7
"440",1,13,1,25,NA,"D:/Data/zString/ZSTR1.asc","reading","silence",7,3,10
"458",1,1,1,26,1,"D:/Data/zString/ZSTR1.asc","reading","silence",7,4,11
"475",1,26,1,27,1,"D:/Data/zString/ZSTR1.asc","reading","silence",6,3,9
"491",1,18,1,28,1,"D:/Data/zString/ZSTR1.asc","reading","silence",7,3,10
"509",1,9,1,29,1,"D:/Data/zString/ZSTR1.asc","reading","silence",9,4,13
"527",1,11,1,30,1,"D:/Data/zString/ZSTR1.asc","reading","silence",7,3,10
"545",1,31,2,31,1,"D:/Data/zString/ZSTR1.asc","reading","standard",9,5,14
"567",1,32,2,32,1,"D:/Data/zString/ZSTR1.asc","reading","standard",6,5,11
"584",1,33,2,33,1,"D:/Data/zString/ZSTR1.asc","reading","standard",11,4,15
"605",1,55,2,34,1,"D:/Data/zString/ZSTR1.asc","reading","standard",7,2,9
"622",1,74,3,35,NA,"D:/Data/zString/ZSTR1.asc","reading","novel",10,4,14
"644",1,43,2,36,1,"D:/Data/zString/ZSTR1.asc","reading","standard",11,2,13
