"","sub","item","cond","seq","start","end","duration_ms","correctresp","subresp","accuracy","task","sound"
"1",1,8,1,1,1182158,1185112,2954,4,4,1,"reading","silence"
"2",1,2,1,2,1190894,1197130,6236,2,2,1,"reading","silence"
"3",1,12,1,3,1211042,1213829,2787,4,4,1,"reading","silence"
"4",1,6,1,4,1261988,1264916,2928,2,2,1,"reading","silence"
"5",1,4,1,5,1322756,1325401,2645,4,4,1,"reading","silence"
"6",1,5,1,6,1330274,1332802,2528,1,1,1,"reading","silence"
"7",1,10,1,7,1338140,1340469,2329,2,2,1,"reading","silence"
"8",1,7,1,8,1349947,1352936,2989,3,3,1,"reading","silence"
"9",1,3,1,9,1380878,1383454,2576,3,3,1,"reading","silence"
"10",1,1,1,10,1393457,1396004,2547,1,1,1,"reading","silence"
"11",1,9,1,11,1411715,1413863,2148,1,1,1,"reading","silence"
"12",1,11,1,12,1419342,1422272,2930,3,3,1,"reading","silence"
"13",1,31,2,13,1428661,1430956,2295,1,1,1,"reading","standard"
"14",1,32,2,14,1436904,1439505,2601,2,2,1,"reading","standard"
"15",1,33,2,15,1445908,1448273,2365,3,3,1,"reading","standard"
"16",1,69,3,16,1473879,1477274,3395,1,1,1,"reading","novel"
"17",1,42,2,17,1509667,1513090,3423,4,4,1,"reading","standard"
"18",1,71,3,18,1602649,1606445,3796,3,3,1,"reading","novel"
"19",1,34,2,19,1612100,1614274,2174,4,4,1,"reading","standard"
"20",1,67,3,20,1623399,1625929,2530,3,3,1,"reading","novel"
"21",1,68,3,21,1665157,1667415,2258,4,4,1,"reading","novel"
"22",1,72,3,22,1713494,1715432,1938,4,4,1,"reading","novel"
"23",1,64,3,23,1720858,1723600,2742,4,4,1,"reading","novel"
"24",1,63,3,24,1740008,1742327,2319,3,3,1,"reading","novel"
"25",1,41,2,25,1834164,1836170,2006,3,3,1,"reading","standard"
"26",1,66,3,26,1870743,1873355,2612,2,2,1,"reading","novel"
"27",1,36,2,27,1881750,1884122,2372,2,2,1,"reading","standard"
"28",1,37,2,28,1899315,1901478,2163,3,3,1,"reading","standard"
"29",1,39,2,29,1906196,1909274,3078,1,1,1,"reading","standard"
"30",1,40,2,30,1924247,1926790,2543,2,2,1,"reading","standard"
"31",1,38,2,31,1932171,1934439,2268,4,4,1,"reading","standard"
"32",1,61,3,32,1969352,1971924,2572,1,1,1,"reading","novel"
"33",1,35,2,33,1986399,1988574,2175,1,1,1,"reading","standard"
"34",1,70,3,34,1999485,2002142,2657,2,2,1,"reading","novel"
"35",1,62,3,35,2007116,2009410,2294,2,2,1,"reading","novel"
"36",1,65,3,36,2014585,2016510,1925,1,1,1,"reading","novel"
"37",1,92,1,37,2146374,2148564,2190,4,4,1,"zString","silence"
"38",1,94,1,38,2165317,2167480,2163,2,2,1,"zString","silence"
"39",1,102,1,39,2178094,2180849,2755,2,2,1,"zString","silence"
"40",1,100,1,40,2191959,2193866,1907,4,4,1,"zString","silence"
"41",1,97,1,41,2205908,2207966,2058,1,1,1,"zString","silence"
"42",1,91,1,42,2221909,2223834,1925,3,3,1,"zString","silence"
"43",1,98,1,43,2260592,2262501,1909,2,2,1,"zString","silence"
"44",1,93,1,44,2272261,2273969,1708,1,1,1,"zString","silence"
"45",1,99,1,45,2281729,2283469,1740,3,3,1,"zString","silence"
"46",1,95,1,46,2305844,2307786,1942,3,3,1,"zString","silence"
"47",1,101,1,47,2334887,2336920,2033,1,1,1,"zString","silence"
"48",1,96,1,48,2370599,2372573,1974,4,4,1,"zString","silence"
"49",1,121,2,49,2454204,2456210,2006,1,1,1,"zString","standard"
"50",1,122,2,50,2461494,2463360,1866,2,2,1,"zString","standard"
"51",1,123,2,51,2469804,2471560,1756,3,3,1,"zString","standard"
"52",1,125,2,52,2479177,2481028,1851,1,1,1,"zString","standard"
"53",1,128,2,53,2534329,2537546,3217,4,1,0,"zString","standard"
"54",1,154,3,54,2545750,2547763,2013,2,2,1,"zString","novel"
"55",1,126,2,55,2558462,2561297,2835,2,2,1,"zString","standard"
"56",1,159,3,56,2579198,2581357,2159,3,3,1,"zString","novel"
"57",1,153,3,57,2635516,2637982,2466,1,1,1,"zString","novel"
"58",1,156,3,58,2655904,2659083,3179,4,4,1,"zString","novel"
"59",1,157,3,59,2664480,2666451,1971,1,1,1,"zString","novel"
"60",1,132,2,60,2672132,2673902,1770,4,4,1,"zString","standard"
"61",1,152,3,61,2689034,2690884,1850,4,4,1,"zString","novel"
"62",1,151,3,62,2742654,2744654,2000,3,3,1,"zString","novel"
"63",1,131,2,63,2824531,2826256,1725,3,3,1,"zString","standard"
"64",1,129,2,64,2837242,2839640,2398,1,1,1,"zString","standard"
"65",1,158,3,65,2848961,2850873,1912,2,2,1,"zString","novel"
"66",1,162,3,66,2898490,2901657,3167,2,2,1,"zString","novel"
"67",1,124,2,67,2907526,2909891,2365,4,4,1,"zString","standard"
"68",1,155,3,68,2916916,2918775,1859,3,3,1,"zString","novel"
"69",1,161,3,69,2924660,2926542,1882,1,1,1,"zString","novel"
"70",1,127,2,70,2961596,2963678,2082,3,3,1,"zString","standard"
"71",1,130,2,71,2982895,2985011,2116,2,2,1,"zString","standard"
"72",1,160,3,72,3052427,3054697,2270,4,4,1,"zString","novel"
"73",2,69,1,1,4649544,4651985,2441,1,1,1,"zString","silence"
"74",2,65,1,2,4671750,4673971,2221,1,1,1,"zString","silence"
"75",2,63,1,3,4702598,4705254,2656,3,3,1,"zString","silence"
"76",2,67,1,4,4714533,4716693,2160,3,3,1,"zString","silence"
"77",2,64,1,5,4727604,4729888,2284,4,4,1,"zString","silence"
"78",2,71,1,6,4738554,4740470,1916,3,3,1,"zString","silence"
"79",2,70,1,7,4768622,4770888,2266,2,2,1,"zString","silence"
"80",2,66,1,8,4809389,4812923,3534,2,2,1,"zString","silence"
"81",2,62,1,9,4822972,4824807,1835,2,2,1,"zString","silence"
"82",2,61,1,10,4843942,4848324,4382,1,1,1,"zString","silence"
"83",2,68,1,11,4906226,4908959,2733,4,4,1,"zString","silence"
"84",2,72,1,12,4948546,4950877,2331,4,4,1,"zString","silence"
"85",2,1,2,13,4968217,4970630,2413,1,1,1,"zString","standard"
"86",2,2,2,14,4978795,4980951,2156,2,2,1,"zString","standard"
"87",2,3,2,15,4990647,4993182,2535,3,3,1,"zString","standard"
"88",2,38,3,16,5002570,5004630,2060,2,2,1,"zString","novel"
"89",2,10,2,17,5013835,5016096,2261,2,2,1,"zString","standard"
"90",2,31,3,18,5060322,5062599,2277,3,3,1,"zString","novel"
"91",2,12,2,19,5072252,5074366,2114,4,4,1,"zString","standard"
"92",2,32,3,20,5183215,5185155,1940,4,4,1,"zString","novel"
"93",2,37,3,21,5193397,5195637,2240,1,1,1,"zString","novel"
"94",2,36,3,22,5233466,5236441,2975,4,4,1,"zString","novel"
