StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q260,Q261,Gender,Age,Q1_1,N1_1,Q2_1,N2_1,Q3_1,N3_1,Q4_1,N4_1,Q5_1,N5_1,Q6_1,N6_1,Q7_1,N7_1,Q8_1,N8_1,Q9_1,N9_1,Q10_1,N10_1,Q11_1,N11_1,Q12_1,N12_1,Q13_1,N13_1,Q14_1,N14_1,Q15_1,N15_1,Q16_1,N16_1,Q17_1,N17_1,Q18_1,N18_1,Q19_1,N19_1,Q20_1,N20_1,Q21_1,N21_1,Q22_1,N22_1,Q23_1,N23_1,Q24_1,N24_1,Q25_1,N25_1,Q26_1,N26_1,Q27_1,N27_1,Q28_1,N28_1,Q29_1,N29_1,Q30_1,N30_1,Q31_1,N31_1,Q32_1,N32_1,Q33_1,N33_1,Q34_1,N34_1,Q35_1,N35_1,Q36_1,N36_1,Q37_1,N37_1,Q38_1,N38_1,Q39_1,N39_1,Q40_1,N40_1,Q41_1,N41_1,Q42_1,N42_1,Q43_1,N43_1,Q44_1,N44_1,Q45_1,N45_1,Q46_1,N46_1,Q47_1,N47_1,Q48_1,N48_1,Q49_1,N49_1,Q50_1,N50_1,Q51_1,N51_1,Q52_1,N52_1,Q53_1,N53_1,Q54_1,N54_1,Q55_1,N55_1,Q56_1,N56_1,Q57_1,N57_1,Q58_1,N58_1,Q59_1,N59_1,Q60_1,N60_1,id
2023-04-27 16:56:13,2023-04-27 16:56:24,1,,100,10,1,2023-04-27 16:56:25,R_25BGYTw4kVbkGcq,,,,,50.745,-1.8524,preview,DE,2,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-28 09:53:01,2023-04-28 10:12:28,0,78.86.2.188,100,1166,1,2023-04-28 10:12:29,R_3g8k0Yv0MuJE7HI,,,,,51.4964,-0.1224,anonymous,EN,1,1,Female,19,2,2,10,10,10,10,10,10,10,10,10,10,10,10,7,7,10,10,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,10,10,9,9,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19364
2023-04-28 10:32:47,2023-04-28 10:37:33,0,31.205.115.29,100,286,1,2023-04-28 10:37:35,R_28TjzFxtxOMEhFV,,,,,50.745,-1.8524,anonymous,EN,1,1,female,18,10,8,8,7,10,8,8,5,10,10,8,6,8,6,6,5,8,6,7,6,7,5,6,5,6,5,6,5,10,10,10,8,10,10,8,8,10,10,10,10,8,8,7,6,6,5,8,7,7,6,6,6,7,5,7,5,7,6,6,5,10,10,6,6,10,10,8,7,7,6,7,5,6,5,7,7,7,7,10,10,7,6,7,7,6,6,7,7,8,7,9,9,9,8,10,10,8,7,7,7,8,7,8,7,7,7,10,10,10,10,8,6,5,5,7,6,10,10,8,6,19315
2023-04-28 10:34:45,2023-04-28 10:43:09,0,109.175.195.109,100,503,1,2023-04-28 10:43:10,R_ReJG4GlTUhklw8p,,,,,50.745,-1.8524,anonymous,EN,1,"1,2",female,20,7,8,7,7,10,10,10,10,10,10,9,9,7,4,10,10,9,9,7,8,10,10,8,8,6,7,7,8,10,10,9,9,7,6,7,7,10,10,9,9,7,7,5,5,7,6,8,8,8,8,6,6,6,5,10,10,9,9,10,10,10,10,9,8,7,3,7,5,8,6,10,10,8,7,10,10,10,10,6,6,10,10,8,9,8,6,8,7,5,3,9,7,10,10,7,7,9,8,8,6,10,10,10,10,9,8,8,8,8,4,10,10,10,10,7,7,10,10,5,3,19377
2023-04-28 11:09:06,2023-04-28 11:13:30,0,94.119.64.35,100,263,1,2023-04-28 11:13:31,R_2RPJ5OxSKW8Msiz,,,,,51.4964,-0.1224,anonymous,EN,1,"1,2",Female,20,5,8,8,8,8,8,5,5,9,9,8,7,7,7,8,8,8,8,8,8,8,8,7,8,7,8,7,8,8,8,9,9,9,9,9,9,8,8,8,8,9,9,9,10,9,9,9,9,8,8,8,8,8,9,9,9,9,8,9,9,9,9,9,9,8,8,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,10,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,18771
2023-04-28 11:37:56,2023-04-28 11:48:37,0,144.126.236.78,100,641,1,2023-04-28 11:48:38,R_2dZtzJ4gWlfTRJj,,,,,51.5368,-0.6718,anonymous,EN,1,"1,2",Female,19,8,6,10,10,10,8,8,7,10,10,10,10,10,10,10,10,10,10,9,7,10,10,9,9,10,8,10,8,10,9,10,10,10,10,10,10,10,10,10,8,10,9,10,10,10,8,9,8,10,10,9,6,10,10,10,10,10,9,10,10,10,8,8,6,10,10,10,10,9,8,10,8,10,10,9,8,10,9,10,8,10,9,9,9,8,8,9,9,9,8,9,8,7,7,10,9,8,8,8,9,9,9,9,9,9,9,9,9,10,10,9,8,7,6,9,9,10,10,10,10,19341
2023-04-28 12:41:52,2023-04-28 12:49:12,0,86.20.17.7,100,439,1,2023-04-28 12:49:14,R_32L3jnDm3fVkiVU,,,,,50.7519,-1.8706,anonymous,EN,1,1,female,20,9,6,10,5,8,7,9,5,10,8,10,8,10,5,10,6,10,7,9,5,9,3,9,5,9,5,9,4,9,5,9,4,10,6,9,6,10,7,10,8,10,7,9,5,8,5,9,7,10,7,10,5,9,4,10,8,10,7,9,5,10,5,9,7,10,5,9,7,10,8,10,4,10,6,9,5,8,6,10,6,9,5,10,7,10,7,10,8,8,7,9,5,9,5,10,9,9,5,8,6,9,6,9,6,9,6,10,8,10,8,9,6,8,6,7,4,10,7,9,6,19254
2023-04-28 13:35:16,2023-04-28 13:52:46,0,5.65.240.7,100,1049,1,2023-04-28 13:52:47,R_3r38ruQ8QNTnQGn,,,,,50.368,-4.1329,anonymous,EN,1,1,male,21,9,7,8,6,10,9,9,9,10,9,9,8,9,9,9,10,9,8,10,10,9,10,8,7,8,7,9,9,8,8,9,10,9,8,9,8,10,10,10,9,9,8,8,7,8,7,9,8,9,9,9,9,9,10,10,10,10,9,9,9,10,10,9,9,10,10,10,10,8,8,9,9,10,10,10,10,9,9,9,9,9,9,9,9,8,8,10,8,10,9,7,6,9,9,10,10,9,8,10,9,9,9,9,8,9,10,10,10,10,7,9,8,8,8,9,9,9,8,8,8,18853
2023-04-28 13:45:23,2023-04-28 13:56:13,0,90.209.190.167,100,649,1,2023-04-28 13:56:14,R_VJrRdSIrTnSJo3f,,,,,50.7256,-1.8978,anonymous,EN,1,"1,2",Female,25,10,5,10,7,10,4,10,5,10,8,10,8,10,7,10,8,10,3,9,4,9,3,6,1,10,9,10,10,10,10,10,10,10,10,10,8,10,10,10,8,10,10,10,10,10,8,10,10,8,4,9,4,10,5,10,9,10,7,10,6,10,10,10,8,10,10,9,10,10,6,10,10,8,6,10,10,10,10,10,10,10,10,10,4,10,4,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,5,10,7,10,10,10,10,10,8,10,6,10,10,10,10,10,10,19156
2023-04-28 14:07:36,2023-04-28 14:42:06,0,86.18.212.35,100,2069,1,2023-04-28 14:42:07,R_1BYtTNKSee4pGi4,,,,,50.7177,-2.0008,anonymous,EN,1,"1,2",M,22,10,7,9,6,8,5,7,4,10,9,9,8,7,8,7,7,8,4,7,5,6,9,7,6,8,6,9,8,7,6,5,7,8,7,8,7,8,4,8,5,5,6,5,5,3,4,6,5,7,5,6,3,8,5,8,5,7,5,7,5,7,6,6,5,9,8,9,9,8,7,4,5,8,6,6,5,6,6,7,5,8,7,8,7,8,7,7,7,6,5,4,4,6,5,8,3,7,8,10,7,8,7,6,4,7,6,8,7,9,7,5,4,7,6,8,7,7,7,8,7,18860
