"","task","cond","sub","fix_dur_M","fix_dur_SD"
"1","reading",1,1,204,63.6465790762927
"2","reading",1,2,264,72.977059328752
"3","reading",1,3,238,77.0206627392259
"4","reading",1,4,215,61.27216274607
"5","reading",1,5,252,114.199129688264
"6","reading",1,6,184,58.6190088425473
"7","reading",1,7,275,93.2752704138641
"8","reading",1,8,223,80.9981966195935
"9","reading",1,9,195,64.305276122372
"10","reading",1,10,205,65.9785867766465
"11","reading",1,11,198,61.5379858739241
"12","reading",1,12,194,49.2469672861253
"13","reading",1,13,231,98.6181076118354
"14","reading",1,14,215,70.494106697953
"15","reading",1,15,185,64.2801501378083
"16","reading",1,16,216,68.4951378401507
"17","reading",1,17,232,93.2505371346087
"18","reading",1,18,204,62.3467059985761
"19","reading",1,19,200,67.7076317832397
"20","reading",1,20,225,75.9731862326671
"21","reading",1,21,195,38.1748347185498
"22","reading",1,22,226,78.4828721526219
"23","reading",1,23,247,95.5246341614861
"24","reading",1,24,212,46.3248198692513
"25","reading",1,25,200,78.5084906749809
"26","reading",1,26,256,92.0326840629742
"27","reading",1,27,207,79.1361816106807
"28","reading",1,28,281,80.2813580639497
"29","reading",1,29,200,51.9524887516624
"30","reading",1,30,217,71.7092201102106
"31","reading",1,31,267,93.8160205617353
"32","reading",1,32,260,109.828861460122
"33","reading",1,33,259,72.3168617868862
"34","reading",1,34,191,63.0064595179649
"35","reading",1,35,197,69.0697824224134
"36","reading",1,36,231,65.7389667396226
"37","reading",1,37,222,79.3003933616887
"38","reading",1,38,213,72.6634148728094
"39","reading",1,39,187,61.9725516197467
"40","reading",1,40,272,112.605533572737
"41","reading",1,41,184,56.9075557714758
"42","reading",1,42,222,79.8357415556514
"43","reading",1,43,247,94.2806737540796
"44","reading",1,44,230,82.689503574467
"45","reading",1,45,200,74.6909038080718
"46","reading",1,46,254,91.1393218602731
"47","reading",1,47,219,61.5712628000318
"48","reading",1,48,196,30.6504393471584
"49","reading",1,49,237,90.841104244305
"50","reading",1,50,179,48.5520963234752
"51","reading",1,51,282,132.088436536449
"52","reading",1,52,185,54.0859129404365
"53","reading",1,53,236,92.4263260652274
"54","reading",1,54,218,78.165135284473
"55","reading",2,1,215,77.218837692142
"56","reading",2,2,268,86.6521282007192
"57","reading",2,3,240,77.8635091968111
"58","reading",2,4,224,65.0719979426111
"59","reading",2,5,253,122.857297761739
"60","reading",2,6,177,51.1372335697776
"61","reading",2,7,273,101.018335469256
"62","reading",2,8,234,92.7159674587589
"63","reading",2,9,200,65.4263802677304
"64","reading",2,10,198,60.1816565417594
"65","reading",2,11,200,65.2259355413553
"66","reading",2,12,220,81.156868246989
"67","reading",2,13,246,110.076249541854
"68","reading",2,14,213,75.8421665174738
"69","reading",2,15,186,61.7735394362222
"70","reading",2,16,202,54.4008862970326
"71","reading",2,17,233,89.8550147107792
"72","reading",2,18,198,52.6046978471407
"73","reading",2,19,189,60.6386278943105
"74","reading",2,20,222,74.3953162806335
"75","reading",2,21,203,46.2059076689061
"76","reading",2,22,214,67.9424884962651
"77","reading",2,23,253,110.998102734535
"78","reading",2,24,214,51.9958883457488
"79","reading",2,25,203,82.4679602389935
"80","reading",2,26,265,94.9488707798732
