"","task","cond","sub","N1_M","N1_SD"
"1","reading",1,1,211,49.4769394007707
"2","reading",1,2,273,38.4802113646309
"3","reading",1,3,242,45.5672579820204
"4","reading",1,4,207,52.4295969597577
"5","reading",1,5,225,70.666045594755
"6","reading",1,6,196,57.8121753530138
"7","reading",1,7,245,75.5602853696715
"8","reading",1,8,241,89.9229348415982
"9","reading",1,9,206,65.7360753447573
"10","reading",1,10,211,57.1677162675861
"11","reading",1,11,185,55.6857851400756
"12","reading",1,12,200,35.5961140201193
"13","reading",1,13,234,101.034047666511
"14","reading",1,14,252,84.8117189307244
"15","reading",1,15,178,50.5841492726276
"16","reading",1,16,235,82.0601822919408
"17","reading",1,17,214,48.051203196746
"18","reading",1,18,225,62.7594424692223
"19","reading",1,19,187,73.5257486482505
"20","reading",1,20,264,79.2486260880408
"21","reading",1,21,199,46.2978401224074
"22","reading",1,22,220,54.8110173144745
"23","reading",1,23,262,80.4260282153281
"24","reading",1,24,200,27.9538633870324
"25","reading",1,25,225,89.7072533541621
"26","reading",1,26,274,72.6673480888141
"27","reading",1,27,205,45.5803239793876
"28","reading",1,28,287,65.9084466008214
"29","reading",1,29,195,50.2495311880159
"30","reading",1,30,201,43.9100755731769
"31","reading",1,31,239,71.2896169590355
"32","reading",1,32,276,81.3765756149983
"33","reading",1,33,281,77.8020993718464
"34","reading",1,34,200,58.5720204444696
"35","reading",1,35,216,82.0590434363368
"36","reading",1,36,235,59.9999396134962
"37","reading",1,37,220,73.5884501807179
"38","reading",1,38,242,79.6419854712473
"39","reading",1,39,196,58.1602560569964
"40","reading",1,40,289,132.74769699773
"41","reading",1,41,178,49.4362215384631
"42","reading",1,42,213,45.1056529443509
"43","reading",1,43,292,75.3939477312162
"44","reading",1,44,234,82.5744723159698
"45","reading",1,45,208,64.3076702211747
"46","reading",1,46,288,122.416576417649
"47","reading",1,47,217,52.2712407418807
"48","reading",1,48,197,22.830878473193
"49","reading",1,49,280,101.524204114901
"50","reading",1,50,182,49.6341228777759
"51","reading",1,51,263,74.4086528506438
"52","reading",1,52,186,47.7569190815122
"53","reading",1,53,268,85.8894022449185
"54","reading",1,54,231,81.5958974225449
"55","reading",2,1,222,58.846454975282
"56","reading",2,2,269,52.0581939329012
"57","reading",2,3,251,69.6915434746861
"58","reading",2,4,246,59.4788642638513
"59","reading",2,5,222,72.6120808523918
"60","reading",2,6,167,31.111473920787
"61","reading",2,7,295,97.4839180876225
"62","reading",2,8,272,108.574825107199
"63","reading",2,9,204,70.2406577417951
"64","reading",2,10,212,53.0003972179752
"65","reading",2,11,216,76.3370658268159
"66","reading",2,12,225,55.0607077548186
"67","reading",2,13,255,76.848364020528
"68","reading",2,14,200,40.8784264818741
"69","reading",2,15,168,38.6485464788462
"70","reading",2,16,208,50.6364685582629
"71","reading",2,17,232,67.2837232561091
"72","reading",2,18,194,49.6782630992812
"73","reading",2,19,212,67.3054837181053
"74","reading",2,20,246,81.0266362961815
"75","reading",2,21,198,39.3398002414976
"76","reading",2,22,199,70.5496279224774
"77","reading",2,23,303,152.457228974774
"78","reading",2,24,216,26.9950975941493
"79","reading",2,25,224,106.863087020678
"80","reading",2,26,319,120.26112614448
"81","reading",2,27,214,61.406073660127
"82","reading",2,28,272,54.62926566106
"83","reading",2,29,189,46.2212072538137
"84","reading",2,30,228,67.5449056977229
"85","reading",2,31,308,75.3977619748923
"86","reading",2,32,247,103.348196274549
"87","reading",2,33,262,73.4919532579989
"88","reading",2,34,226,66.5633820018891
"89","reading",2,35,194,34.0086015625041
"90","reading",2,36,268,68.0096071644784
"91","reading",2,37,233,72.5108187829907
"92","reading",2,38,187,41.6011553503291
"93","reading",2,39,204,56.5135466271668
"94","reading",2,40,303,108.264668574464
"95","reading",2,41,199,66.4728766741243
"96","reading",2,42,232,75.1165566038766
"97","reading",2,43,265,90.109102549736
"98","reading",2,44,254,84.4161299986713
"99","reading",2,45,228,60.8263841013832
"100","reading",2,46,236,74.9197666078281
"101","reading",2,47,263,89.2257363440829
"102","reading",2,48,182,21.584308025535
"103","reading",2,49,233,58.5475386819488
"104","reading",2,50,174,59.1480944411854
"105","reading",2,51,298,110.673473095674
"106","reading",2,52,210,62.2102413629362
"107","reading",2,53,248,84.2588903680829
"108","reading",2,54,231,80.9942304085737
"109","reading",3,1,315,183.396065025034
