"","task","cond","sub","FFD_M","FFD_SD","freq_M","freq_SD","zipf_M","zipf_SD"
"1","reading",1,1,211,49.4769394007707,52000,106023.763013257,4.53,0.965769661441608
"2","reading",1,2,273,38.4802113646309,83500,311327.036747132,4.62,0.871850140027899
"3","reading",1,3,242,45.5672579820204,65700,112781.997676284,4.89,0.815334909403954
"4","reading",1,4,207,52.4295969597577,73900,105886.858024845,5.04,0.876029065200992
"5","reading",1,5,225,70.666045594755,51700,94867.3914401923,4.9,0.706248775810148
"6","reading",1,6,196,57.8121753530138,176000,676132.173782457,4.61,1.01286040029028
"7","reading",1,7,245,75.5602853696715,230000,704982.366946651,5.06,0.95476919227964
"8","reading",1,8,241,89.9229348415982,49200,101981.762926864,4.7,0.761199019552982
"9","reading",1,9,206,65.7360753447573,54700,105090.785216561,4.85,0.77165067349466
"10","reading",1,10,211,57.1677162675861,51000,106871.837085995,4.8,0.802538767229599
"11","reading",1,11,185,55.6857851400756,22500,31358.5568239888,4.66,0.66316614308432
"12","reading",1,12,200,35.5961140201193,146000,618493.641938616,4.78,0.780966281815888
"13","reading",1,13,234,101.034047666511,39300,119255.012016439,4.63,0.721497360742534
"14","reading",1,14,252,84.8117189307244,44100,94117.0722821552,4.55,0.945858457351772
"15","reading",1,15,178,50.5841492726276,37900,85122.6005717115,4.77,0.654285418504031
"16","reading",1,16,235,82.0601822919408,51700,100312.3020707,4.74,0.914700322423633
"17","reading",1,17,214,48.051203196746,65600,127499.508869574,4.89,0.794341096618938
"18","reading",1,18,225,62.7594424692223,20200,34606.1041472111,4.61,0.614282779616467
"19","reading",1,19,187,73.5257486482505,175000,591823.756901744,4.9,1.07332963619594
"20","reading",1,20,264,79.2486260880408,15800,31853.2063525298,4.25,0.883410109208985
"21","reading",1,21,199,46.2978401224074,31200,46423.0191504531,4.76,0.692692091288282
"22","reading",1,22,220,54.8110173144745,79300,122525.440010869,4.93,0.879692586997894
"23","reading",1,23,262,80.4260282153281,64300,115327.863846947,4.89,0.80299969769157
"24","reading",1,24,200,27.9538633870324,27500,67208.84934744,4.53,0.759082207077369
"25","reading",1,25,225,89.7072533541621,51800,103368.76585147,4.6,0.955975796409176
"26","reading",1,26,274,72.6673480888141,82300,318413.585852366,4.5,0.874720659344489
"27","reading",1,27,205,45.5803239793876,67700,121993.89295992,4.98,0.710486986680093
"28","reading",1,28,287,65.9084466008214,67600,134431.656564119,4.76,0.891386186416041
"29","reading",1,29,195,50.2495311880159,48500,93913.1764844775,4.8,0.752433283523427
"30","reading",1,30,201,43.9100755731769,265000,758340.681126773,4.88,1.00501846016039
"31","reading",1,31,239,71.2896169590355,206000,645242.055454964,4.97,0.958841527625298
"32","reading",1,32,276,81.3765756149983,38700,80753.9071582517,4.65,0.808356882616337
"33","reading",1,33,281,77.8020993718464,53400,98219.7000286942,4.81,0.846860476505231
"34","reading",1,34,200,58.5720204444696,66700,126301.099309911,4.85,0.838253039299433
"35","reading",1,35,216,82.0590434363368,21000,27357.1426304043,4.63,0.674531176219682
"36","reading",1,36,235,59.9999396134962,153000,630865.110248652,4.82,0.79759965984904
"37","reading",1,37,220,73.5884501807179,57000,139908.962258463,4.74,0.74451841257733
"38","reading",1,38,242,79.6419854712473,29300,70420.4591034446,4.43,0.88288513749406
"39","reading",1,39,196,58.1602560569964,38200,88441.6909633451,4.7,0.688650565337458
"40","reading",1,40,289,132.74769699773,70100,117465.905458021,4.88,0.925332129705086
"41","reading",1,41,178,49.4362215384631,59100,113955.23283066,4.79,0.905110490492735
"42","reading",1,42,213,45.1056529443509,19100,32726.6714952439,4.53,0.704119863807786
"43","reading",1,43,292,75.3939477312162,65300,139277.733656157,4.82,0.980825899150529
"44","reading",1,44,234,82.5744723159698,17600,36271.3539966958,4.28,0.857634089739941
"45","reading",1,45,208,64.3076702211747,38800,80434.4292559591,4.69,0.76718842516695
"46","reading",1,46,288,122.416576417649,65400,106622.727683023,4.99,0.796817058202461
