"","task","cond","sub","sacc_len_M","sacc_len_SD"
"1","reading",1,1,11.3,6.52395551338996
"2","reading",1,2,14.1,16.3247098328783
"3","reading",1,3,7.04,3.19352098664931
"4","reading",1,4,11.2,6.62207447161543
"5","reading",1,5,9.69,6.63496051866508
"6","reading",1,6,9.28,4.92960140001604
"7","reading",1,7,6.73,2.95886842272322
"8","reading",1,8,9.77,9.02502999316247
"9","reading",1,9,10.9,11.0344102485204
"10","reading",1,10,9.52,5.93385996219927
"11","reading",1,11,7.64,4.21118703788367
"12","reading",1,12,9.73,3.96546799904487
"13","reading",1,13,7.32,3.70189345744217
"14","reading",1,14,12.3,12.2631686681478
"15","reading",1,15,9.21,8.3279420619264
"16","reading",1,16,6.97,3.61674208930803
"17","reading",1,17,12.1,13.5821254972517
"18","reading",1,18,9.43,8.82037330667504
"19","reading",1,19,8.34,8.71981994132447
"20","reading",1,20,9.49,7.36873460096661
"21","reading",1,21,10.2,3.01982429883087
"22","reading",1,22,11.6,12.8004801048439
"23","reading",1,23,10.4,9.19380664387537
"24","reading",1,24,13.9,7.77989018321574
"25","reading",1,25,8.7,9.86808433513972
"26","reading",1,26,8.08,6.97081193472564
"27","reading",1,27,12,11.7925187459904
"28","reading",1,28,8.55,4.46743683889912
"29","reading",1,29,14.8,12.0642648928925
"30","reading",1,30,8.6,6.83128317558057
"31","reading",1,31,7.55,5.40663382996408
"32","reading",1,32,12.1,12.5064445334047
"33","reading",1,33,9.64,3.65330680376144
"34","reading",1,34,7.95,6.00565076646022
"35","reading",1,35,8.33,6.59433637105614
"36","reading",1,36,10.4,9.29414433291838
"37","reading",1,37,8.86,9.422147513881
"38","reading",1,38,9.62,6.7447497558702
"39","reading",1,39,9.87,9.01317016497571
"40","reading",1,40,7.6,4.63792962409349
"41","reading",1,41,7.38,9.20429813399962
"42","reading",1,42,10.4,12.610760185932
"43","reading",1,43,7.25,5.3727715749763
"44","reading",1,44,7.91,4.7196932658079
"45","reading",1,45,9.64,4.5304148574617
"46","reading",1,46,12,10.7157166524343
"47","reading",1,47,12.5,6.42798066484134
"48","reading",1,48,11.2,2.90892409648102
"49","reading",1,49,10.9,12.3548932007148
"50","reading",1,50,7.57,3.11905054402439
"51","reading",1,51,9.34,5.13168323774939
"52","reading",1,52,7.7,3.58020125507095
"53","reading",1,53,9.82,8.1205812100989
"54","reading",1,54,9.16,7.32250701926107
"55","reading",2,1,10.4,5.93318586078056
"56","reading",2,2,11.7,11.8775092687501
"57","reading",2,3,6.87,5.85791705817843
"58","reading",2,4,10.1,5.09267505669057
"59","reading",2,5,9.81,7.49356597205953
"60","reading",2,6,9.81,5.79194175842585
"61","reading",2,7,7,3.272691894396
"62","reading",2,8,8.82,5.81334000592227
"63","reading",2,9,11.2,9.75497566804557
"64","reading",2,10,9,4.05401384415342
"65","reading",2,11,8.52,8.7125061804121
"66","reading",2,12,9.43,8.75593293239925
"67","reading",2,13,7,3.70293285271441
"68","reading",2,14,12.2,12.7790224254523
"69","reading",2,15,9.36,8.31625240515847
"70","reading",2,16,6.44,2.57357870890717
"71","reading",2,17,11,11.4558625860181
"72","reading",2,18,8.29,5.31354017584756
"73","reading",2,19,7.27,3.72370851191917
"74","reading",2,20,9.91,7.75572324160171
"75","reading",2,21,11.1,4.90908538034664
"76","reading",2,22,12.1,14.5008760226268
"77","reading",2,23,10.5,9.80783021917796
"78","reading",2,24,14.6,10.4553992788598
"79","reading",2,25,7.45,7.29008041744597
"80","reading",2,26,8.1,7.3616705285541
"81","reading",2,27,10.1,8.27191254638424
"82","reading",2,28,11.1,11.0936253622015
"83","reading",2,29,15.7,14.7277677110885
"84","reading",2,30,8.29,7.83583708671943
"85","reading",2,31,7.95,6.71884432368885
"86","reading",2,32,11.7,11.1990078732061
"87","reading",2,33,10.5,3.5951832196345
"88","reading",2,34,8.49,5.55704312475468
"89","reading",2,35,8.53,6.1944872258711
"90","reading",2,36,11.1,14.5017842052668
"91","reading",2,37,8.24,8.376269922678
"92","reading",2,38,9,5.62401268889509
"93","reading",2,39,11.6,13.0663722097156
"94","reading",2,40,7.53,4.84518224502814
"95","reading",2,41,7.15,7.36953659905446
"96","reading",2,42,10.6,13.2448568151467
"97","reading",2,43,6.83,4.4350271057416
"98","reading",2,44,7.45,4.53756724060766
"99","reading",2,45,9.3,6.55391013469868
"100","reading",2,46,11.4,10.9649914176573
"101","reading",2,47,13.1,9.25794950322522
"102","reading",2,48,11.6,5.36039074327289
"103","reading",2,49,9.12,5.90999598789737
"104","reading",2,50,7.69,3.80767842415195
"105","reading",2,51,10.1,6.8932180943448
"106","reading",2,52,8.08,4.01635082984219
"107","reading",2,53,8.99,7.15765050166969
"108","reading",2,54,8.92,5.70488216520156
"109","reading",3,1,10.7,6.62934003215707
"110","reading",3,2,13.5,14.7348501348043
"111","reading",3,3,6.69,4.56238766819452
"112","reading",3,4,10.5,5.46606838735826
"113","reading",3,5,9.48,8.21846718122947
"114","reading",3,6,9.28,3.24450516401023
"115","reading",3,7,7.22,4.48546409450333
"116","reading",3,8,11.2,13.0923072304004
"117","reading",3,9,11.7,9.5151532111876
