"","task","cond","item","duration_ms_M","duration_ms_SD"
"1","reading",1,1,4800,2300.98796413869
"2","reading",1,2,5050,1306.77013833514
"3","reading",1,3,4030,1801.92118152944
"4","reading",1,4,4960,1650.02083320181
"5","reading",1,5,4160,2244.34996775854
"6","reading",1,6,4450,1487.78614427985
"7","reading",1,7,5150,1291.26386192409
"8","reading",1,8,5330,1470.22540788819
"9","reading",1,9,4070,746.155814826903
"10","reading",1,10,4260,1433.44638120084
"11","reading",1,11,5420,2322.77388649386
"12","reading",1,12,4810,1345.70016885057
"13","reading",1,13,5150,1544.43194339465
"14","reading",1,14,4190,1129.16832718205
"15","reading",1,15,4580,1159.93517539176
"16","reading",1,16,4650,1043.31424370183
"17","reading",1,17,6120,1216.61425686205
"18","reading",1,18,5110,1656.78331245955
"19","reading",1,19,4480,1625.91795440128
"20","reading",1,20,4510,1847.39817791882
"21","reading",1,21,5500,2543.00344627721
"22","reading",1,22,4090,1263.32646216249
"23","reading",1,23,4390,1103.084249326
"24","reading",1,24,5540,1683.47609130632
"25","reading",1,25,4440,1766.89537827733
"26","reading",1,26,3930,1430.85240717242
"27","reading",1,27,5210,2589.12630587574
"28","reading",1,28,3790,1179.7234610045
"29","reading",1,29,4900,1678.37792062588
"30","reading",1,30,4390,1106.47805872708
"31","reading",1,31,3930,1261.76778546785
"32","reading",1,32,3460,1031.82556665359
"33","reading",1,33,3780,1019.5038008757
"34","reading",1,34,3780,909.523089316593
"35","reading",1,35,3460,1311.34877554033
"36","reading",1,36,3730,1237.59913183192
"37","reading",1,37,3630,1104.99635494623
"38","reading",1,38,4220,1405.663672829
"39","reading",1,39,3940,969.240696513398
"40","reading",1,40,3690,1250.27884667559
"41","reading",1,41,3500,1541.97914851156
"42","reading",1,42,4380,1875.1721106193
"43","reading",1,43,4340,1691.15973521131
"44","reading",1,44,3270,965.911544144241
"45","reading",1,45,4130,2017.59132383146
"46","reading",1,46,4200,1699.73415405011
"47","reading",1,47,5400,1624.6295731643
"48","reading",1,48,4490,1832.6612101289
"49","reading",1,49,4070,1670.29681327734
"50","reading",1,50,4290,1658.8741999052
"51","reading",1,51,4350,733.133419720525
"52","reading",1,52,4250,2140.78068574164
"53","reading",1,53,4030,1247.97966730232
"54","reading",1,54,3650,2018.93331984987
"55","reading",1,55,3600,1288.77785561016
"56","reading",1,56,3670,1517.2415760188
"57","reading",1,57,3900,1334.33878756484
"58","reading",1,58,4530,1909.70954015991
"59","reading",1,59,2820,969.597095590626
"60","reading",1,60,3270,823.839402499729
"61","reading",1,61,4580,1136.01347312042
"62","reading",1,62,3910,1452.55249474847
"63","reading",1,63,5240,1873.22542690409
"64","reading",1,64,4720,1538.21631913214
"65","reading",1,65,4880,1660.12118868205
"66","reading",1,66,3510,849.990114321599
"67","reading",1,67,3950,2025.47587001179
"68","reading",1,68,4890,1650.30381882987
"69","reading",1,69,4110,1114.72137774423
"70","reading",1,70,4730,2660.42320150594
"71","reading",1,71,4000,1826.36522756114
"72","reading",1,72,4400,1982.21009509868
"73","reading",1,73,3840,824.516070189053
"74","reading",1,74,4590,1749.39225955124
"75","reading",1,75,4260,2194.74292977054
"76","reading",1,76,3310,1492.87645540785
"77","reading",1,77,3390,888.887475693321
"78","reading",1,78,4530,2227.7947616421
"79","reading",1,79,3800,1121.8632690504
"80","reading",1,80,5020,2108.64935707934
"81","reading",1,81,5740,2284.81493293828
"82","reading",1,82,5920,2218.17331629228
"83","reading",1,83,4120,2629.69670304391
"84","reading",1,84,4180,1974.01355111863
"85","reading",1,85,5960,2807.15497038866
"86","reading",1,86,5200,1497.26799352836
"87","reading",1,87,4570,2010.85388855359
"88","reading",1,88,4860,1679.831572245
"89","reading",1,89,3710,1299.35334344093
"90","reading",1,90,4960,2937.86701726118
"91","reading",1,91,4110,1195.24137497179
"92","reading",1,92,3900,1617.32176589708
"93","reading",1,93,4290,1407.77901319774
"94","reading",1,94,4040,847.640253881327
"95","reading",1,95,4580,3260.41357720833
"96","reading",1,96,3090,1139.27064875345
"97","reading",1,97,3110,1112.27289816843
"98","reading",1,98,4180,1147.48788422556
"99","reading",1,99,3590,957.344243206173
"100","reading",1,100,5160,2380.60168048145
"101","reading",1,101,3840,1137.88968904918
"102","reading",1,102,4210,1354.28266169872
"103","reading",1,103,4530,1281.92140944755
"104","reading",1,104,4660,3420.39565612583
"105","reading",1,105,3960,937.873140556748
"106","reading",1,106,4300,1581.90932455407
"107","reading",1,107,3830,924.152013710106
"108","reading",1,108,4480,1266.10647700385
"109","reading",1,109,3880,1446.76133522814
"110","reading",1,110,3310,536.915056389535
"111","reading",1,111,4010,615.204663325773
"112","reading",1,112,5640,6153.13086972803
"113","reading",1,113,4020,1560.32137003176
"114","reading",1,114,5420,2376.98054262125
"115","reading",1,115,3760,1465.77573318704
"116","reading",1,116,3660,932.22709739157
"117","reading",1,117,3630,1050.98858224055
"118","reading",1,118,4820,1814.86838365761
"119","reading",1,119,4870,1913.60195559172
"120","reading",1,120,4370,1631.26117705835
"121","reading",1,121,4040,1636.27283109443
"122","reading",1,122,4130,2081.58503309377
"123","reading",1,123,3850,1571.7083858019
"124","reading",1,124,4740,2610.96304071888
"125","reading",1,125,3580,1659.73630770406
"126","reading",1,126,3630,1592.12806575909
"127","reading",1,127,3470,1771.5239751255
"128","reading",1,128,3540,1478.31222269782
"129","reading",1,129,3900,2002.48610759503
"130","reading",1,130,4480,1862.37174800784
"131","reading",1,131,4130,2266.37811888877
"132","reading",1,132,4550,2382.43017269715
"133","reading",1,133,4480,2350.2417960712
"134","reading",1,134,4350,1707.81462043683
"135","reading",1,135,3900,1521.53484277481
"136","reading",1,136,3680,1815.2837243803
"137","reading",1,137,4510,2601.03606493857
"138","reading",1,138,4530,1522.18826401701
"139","reading",1,139,2610,639.05511847136
"140","reading",1,140,3600,1702.8868870245
"141","reading",1,141,4610,2454.41515436977
"142","reading",1,142,4840,2605.90626163806
"143","reading",1,143,4160,1324.44214671687
"144","reading",1,144,4880,2828.57490620277
"145","reading",1,145,3260,1636.3704585997
"146","reading",1,146,4030,1444.65151507206
